,MLA Name,MLA Train Accuracy Mean,MLA Test Accuracy Mean
3,GradientBoostingClassifier,0.9153558052434457,0.8347014925373134
1,BaggingClassifier,0.9707865168539327,0.8227611940298507
0,AdaBoostClassifier,0.8466292134831461,0.8115671641791046
4,RandomForestClassifier,0.9704119850187265,0.8111940298507461
20,QuadraticDiscriminantAnalysis,0.8194756554307115,0.8074626865671641
12,GaussianNB,0.8127340823970037,0.8014925373134328
6,LogisticRegressionCV,0.8099250936329587,0.8003731343283583
19,LinearDiscriminantAnalysis,0.80561797752809,0.7955223880597015
8,RidgeClassifierCV,0.8059925093632959,0.7947761194029852
2,ExtraTreesClassifier,0.9870786516853933,0.7936567164179105
11,BernoulliNB,0.7940074906367041,0.7835820895522387
17,DecisionTreeClassifier,0.9870786516853933,0.7813432835820895
18,ExtraTreeClassifier,0.9870786516853933,0.762313432835821
16,LinearSVC,0.752247191011236,0.757089552238806
5,GaussianProcessClassifier,0.9569288389513109,0.7179104477611941
13,KNeighborsClassifier,0.7891385767790262,0.7164179104477612
15,NuSVC,0.9327715355805244,0.7134328358208956
14,SVC,0.909176029962547,0.6981343283582089
7,PassiveAggressiveClassifier,0.6754681647940075,0.6727611940298507
10,Perceptron,0.64812734082397,0.6402985074626866
9,SGDClassifier,0.6367041198501873,0.6253731343283582
